hitech_prgm,hitech_sub_prgm,hitech_prgm_website,hitech_prgm_role,consortia_region,grantee_name,org_name,federal_funding,region,region_code,zip_code,grantee_website,grantee_website_url
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Program Obligations,,,,"249,999,927.00",National,US,,http://healthit.gov/policy-researchers-implementers/beacon-community-program,http://healthit.gov/policy-researchers-implementers/beacon-community-program
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Eastern Maine Healthcare Systems,Bangor Beacon Community,"12,749,740.00",Maine,ME,4401,http://www.bangorbeaconcommunity.org/,http://www.bangorbeaconcommunity.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Inland Northwest Health Services,Beacon Community of the Inland Northwest,"15,702,479.00",Washington,WA,99210,https://www.inhs.info/,https://www.inhs.info/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,"Indiana Health Information Exchange, Inc.",Central Indiana Beacon Community,"16,008,431.00",Indiana,IN,46202,http://www.ihie.org/Beacon-Community/default.php,http://www.ihie.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Rocky Mountain Health Maintenance Organization,Colorado Beacon Community,"11,878,279.00",Colorado,CO,81506,http://www.rmhp.org/,http://www.rmhp.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Louisiana Public Health Institute,Crescent City Beacon Community,"13,525,434.00",Louisiana,LA,70112,http://www.crescentcitybeacon.org/,http://www.crescentcitybeacon.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Delta Health Alliance,Delata BLUES Beacon Community,"14,666,156.00",Mississippi,MS,38776,http://www.deltahealthalliance.org/projects/beacon-cooperative-community-agreement-program,http://www.deltahealthalliance.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,"Greater Cincinnati Health Bridge, Inc.",Great Cincinnati Beacon Community,"13,775,630.00",Ohio,OH,45212,http://www.healthbridge.org/WhatWeDo/Projects/BeaconCollaboration.aspx,http://www.healthbridge.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Community Services Council of Tulsa,Greater Tulsa Health Access Network Beacon Community,"12,043,948.00",Oklahoma,OK,74101,http://myhealthaccess.net/about-us/,http://myhealthaccess.net/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,University of Hawaii at Hilo,Hawaii County Beacon Community,"16,091,390.00",Hawaii,HI,96719,http://www.hibeacon.org/,http://www.hibeacon.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Geisinger Clinic,Keystone Beacon Community,"16,069,110.00",Pennsylvania,PA,17822,http://www.keyhie.org/,http://www.keyhie.org/
