Name,Platform,USD Value,Total In,Total Out,Citizens,Proposals,Voters,Voter Participation,Image
Uniswap,6,3002760886,6007536430,3004775550,275652,8,1204,0.43678261,uniswap.png
BitDAO,12,2654378008,2665118700,197871362.2,10000,5,25,0.25,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/bitdao.eth.png
Lido,4,767780772.5,1731122080,907487729.7,0,45,384,0,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/lido-snapshot.eth.png
Compound,6,581760532.1,1275331009,693570278.9,174329,77,1021,0.585674214,compound.png
Radicle,6,579706574.1,635396452.7,55689878.52,5612,4,60,1.069137562,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/radicle.png
Aave,11,553926549.7,811381400.8,257454851.1,11212,77,13731,100,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/aave.png
Olympus DAO,12,415573377.9,2415026112,1999510308,8328,171,7643,91.77473583,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/olympus.eth-alt.jpeg
dHedge,12,398557380.9,613857888.4,215336006.9,8347,80,246,30.96379427,dhedge.jpeg
Gnosis,12,361825601.8,511558267.3,149768180.1,10000,11,553,5.53,gnosis.jpeg
ENS,11,232053200.5,277166735.9,90792110.31,10000,8,85319,100,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/ens.eth.png
Maker Dao,-1,199090734.7,902394288.4,703303553.7,82614,-1,-1,-1,maker-dao.jpeg
Fei,6,179920901.9,1980671474,1800750572,10000,87,5160,3.045,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/fei.png
Rarible,12,152786950,178248717.5,25461767.53,0,133,2159,0,rarible.png
ShapeShift,12,144365077.7,196797398.6,52436134.11,10000,51,1119,11.19,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/shapeshiftdao.eth.png
Kusama,13,139909780.6,-1,-1,229447,690,1358,66.85859576,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/kusama/kusama.jpeg
Badger DAO,4,132286071.8,365300845.6,233841835,10000,76,4,0.04,badgerdao.jpg
PleasrDAO,11,125376025.7,235894552.8,148991703.8,69,48,60,86.95652174,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/pleasrdao.eth.png
Aragon Network Budget,4,121180476.4,250851277.4,138826871.2,4,590,5,100,aragon.png
Gitcoin,6,118508510.1,170921022.1,54924251.1,10000,12,103,1.03,gitcoin.png
Decentraland,4,107813247.2,129149981.2,21336404.07,13009,862,2546,59.57234059,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/snapshot.dcl.eth.png
Perpetual Protocol,12,98852994.49,186759988.8,87907999.9,8997,20,526,5.846393242,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/vote-perp.eth.png
DXdao,1,94476560.18,140537139.3,44416006.93,773,736,132,14.58342081,dxDAO.png
API3 DAOv1,4,83580945.11,461281982.2,377701698.9,31,136,9,29.03225806,api3.jpg
Nouns DAO,6,62555476.36,72530197.87,8649157.073,90,30,66,73.33333333,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/nouns.eth.png
Cryptex,6,60727483.02,73878486.26,13106215.29,781,3,11,1.408450704,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/cryptex.jpeg
Decentral Games,11,54645711.88,54920699.08,48189815.85,3195,65,681,21.31455399,decentralgames.eth.png
Alchemix,11,51192841.11,202249160.7,155155705,7705,35,1617,-1,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/alchemixstakers.eth-alt.jpeg
BarnBridge,-1,49235120.13,228514075.4,179278955.3,15,98,13,86.66666667,barnbridgelaunch.jpg
Index,11,42971344.92,78287177.4,35319788.5,4158,269,2658,63.92496392,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/index-coop.eth.png
PrimeDAO,12,40315434.63,50244611.89,533294291.3,308,176,72,25.52005013,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/primexyz.eth.png
Tornado Cash,11,39967738.09,89851673.53,49883972.83,7552,13,83,1.09904661,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/torn-community.eth.png
pNetwork,4,38140863.01,89239881.69,51099018.68,1090,0,0,0,ptokens.jpg
PieDAO,4,36849260.67,143302698,125500808.9,3029,345,53,1.749752394,PieDAO.jpg
bZx,11,36564553.01,61850786.13,25286233.12,6143,10,80,1.302295295,bzx.png
NFTX,4,33751755.15,135963183.3,102191634,5070,587,6,0.118343195,nftx.png
Tracer,11,33452297.95,134325580,101032365,818,33,67,8.190709046,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/tracer.eth.png
The LAO,3,28821231.01,57952202.12,29130971.11,100,164,42,42,TheLAO.jpg
VitaDAO,-1,23455861.51,86058445.03,62602583.52,-1,-1,-1,-1,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/vitaDAO.jpeg
yearn.finance,12,20786774.19,506388187.2,487362562.8,660,16,3258,100,yearn.png
MetaCartel Ventures,2,19683767.52,68143220.84,48459453.32,240955,417,75,0.031126144,metacartelventures.jpg
Inverse,6,17992623.36,34831238.65,16838615.29,2356,29,420,17.82682513,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/inverse.jpeg
PoolTogether,6,17649822.33,23951921.63,6302099.301,7960,28,353,4.434673367,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/pool_toogether.jpeg
Varen,11,17564055.64,43288020.75,25726322.07,5371,14,76,1.415006516,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/varen.eth.png
Bankless DAO,11,16023370.74,126667911.7,110703431.1,4385,22,2445,55.75826682,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/banklessvault.eth.png
Unslashed,6,15834919.12,19818083.03,3984210.658,1372,0,0,0,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/unslashed.jpeg
Aragon Trust,4,12295418.42,52116433.28,42467096.89,4,162,6,100,aragon.png
Sushiswap,12,11346370.02,197592653.4,189573249.1,52030,249,9353,17.9761676,sushiswap.jpeg
Airalab,4,10512496.35,32371948.57,21858233.71,10,477,14,100,airalab.jpg
Idle Finance,6,9613025.212,22093911.74,12484624.9,3732,17,55,1.473740622,idle-finance.png
CityDAO,11,7014722.9,655944.0453,595440.8969,-1,19,2171,-1,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/daocity.eth.png
Aavegotchi,4,6392922.872,20675626.03,14282703.15,7009,319,8304,100,aavegotchi.jpg
Yam Finance,6,4142253.425,16908978088,16904837308,10000,7,156,1.56,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/snapshots/spaces/yam.eth.png
Aragon Network,4,4008599.428,4008599.428,0,5,28,4,80,aragon.png
BProtocol,6,2898223.973,5234261.753,2336037.78,1670,11,123,0,https://deepdao-uploads.s3.us-east-2.amazonaws.com/assets/dao/logo/bprotocol.png
