id,name,display_name,image,get_it_url,short_description,long_description,enabled,oauth,qm_client,created_at,updated_at,client_id,deleted_at,wp_post_id,number_of_connections,number_of_connector_imports,number_of_connector_requests,number_of_measurements,is_public,sort_order,slug
1,myfitnesspal,MyFitnessPal,https://i.imgur.com/2aUrwtd.png,http://www.amazon.com/gp/product/B004H6WTJI/ref=as_li_qf_sp_asin_il?ie=UTF8&camp=1789&creative=9325&creativeASIN=B004H6WTJI&linkCode=as2&tag=quantimodo04-20,Tracks diet.,"Lose weight with MyFitnessPal, the fastest and easiest-to-use calorie counter for iPhone and iPad. With the largest food database of any iOS calorie counter (over 3,000,000 foods), and amazingly fast food and exercise entry.",1,0,,2020-07-28 17:59:22,2020-08-12 02:41:27,myfitnesspal,,,,,,,,0,
2,runkeeper,RunKeeper,https://i.imgur.com/GHhb4wb.png,http://www.amazon.com/gp/product/B004Z2TYTC/ref=as_li_qf_sp_asin_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B004Z2TYTC&linkCode=as2&tag=quantimodo04-20,Tracks your workouts.,"RunKeeper is the simplest way to improve fitness, whether you're just deciding to get off the couch for a 5k, biking every day, or even deep into marathon training.
Track your runs, walks, bike rides, training workouts and all of the other fitness activities using the GPS in your Android Phone.",1,1,,2020-07-28 17:59:23,2020-08-12 02:41:28,runkeeper,,,,,,,,0,
3,whatpulse,WhatPulse,https://i.imgur.com/EEZxqtd.png,http://www.whatpulse.org/downloads/,Tracks keyboard and mouse usage.,"WhatPulse is a small application that measures your keyboard/mouse usage, down- & uploads and your uptime. It sends these statistics here, to the website, where you can use these stats to analyze your computing life, compete against or with your friends and compare your statistics to other people.",1,0,,2020-07-28 17:59:25,2020-08-12 02:41:30,whatpulse,,,,,,,,0,
4,github,GitHub,https://i.imgur.com/eUiQNlk.png,https://github.com/,Tracks code commits.,"GitHub is the best place to share code with friends, co-workers, classmates, and complete strangers. Over four million people use GitHub to build amazing things together.",1,1,,2020-07-28 17:59:20,2020-08-12 02:41:25,github,,,,,,,,0,
5,moodscope,Moodscope,https://i.imgur.com/ymn6gRq.png,https://www.moodscope.com,Tracks mood.,"MoodScope is a web based application for measuring, tracking and sharing your mood. Moods are measured using an online card game, and can be shared automatically by email with friends, with the idea that these activities can raise mood in and of themselves. The mood log can be charted to see progressions and as a way to identify events that may have influenced your mood.",1,0,,2020-07-28 17:59:22,2020-08-12 02:41:27,moodscope,,,,,,,,0,
6,up,JAWBONE Up,https://a.slack-edge.com/80588/img/services/jenkins-ci_36.png,"",disabled,disabled,0,1,,2020-07-28 17:59:25,2020-08-12 02:41:30,up,,,,,,,,0,
7,fitbit,Fitbit,https://i.imgur.com/WE8KUx7.png,https://www.amazon.com/Fitbit-Charge-Heart-Fitness-Wristband/dp/B01K9S260E/ref=as_li_ss_tl?ie=UTF8&qid=1493518902&sr=8-3&keywords=fitbit&th=1&linkCode=ll1&tag=quantimodo04-20&linkId=b357b0833de73b0c4e935fd7c13a079e,"Tracks sleep, diet, and physical activity.",Fitbit makes activity tracking easy and automatic.,1,1,,2020-07-28 17:59:19,2020-08-12 02:41:25,fitbit,,,,,,,,0,
8,facebook,Facebook,https://applets.imgix.net/https%3A%2F%2Fassets.ifttt.com%2Fimages%2Fchannels%2F29%2Ficons%2Fon_color_large.png%3Fversion%3D0?ixlib=rails-2.1.3&w=240&h=240&auto=compress&s=216b3768523a87b6eadc8f3ee46dcef7,https://www.facebook.com,"Tracks social interaction. QuantiModo requires permission to access your Facebook ""user likes"" and ""user posts"".","Facebook is a social networking website where users may create a personal profile, add other users as friends, and exchange messages.",1,1,,2020-07-28 17:59:19,2021-06-04 12:50:42,facebook,,,,,,,,0,
9,withings,Withings,https://i.imgur.com/GZ7Kw8A.png,https://partners.withings.com/c/71745/58308/583,"Tracks sleep, blood pressure, heart rate, weight, temperature, CO2 levels, and physical activity.","Withings creates smart products and apps to take care of yourself and your loved ones in a new and easy way. Discover the Withings Pulse, Wi-Fi Body Scale, and Blood Pressure Monitor.",1,1,,2020-07-28 17:59:25,2021-06-05 20:30:51,withings,,,,,,,,0,
10,moodpanda,MoodPanda,https://i.imgur.com/G7YBiwO.png,https://moodpanda.com/,Tracks mood.,"MoodPanda.com is a mood tracking website and iphone app. You rate your happiness on a 0-10 scale, and optionally add a brief twitter-like comment on what is influencing your mood. MoodPanda is also a large community of friendly people, sharing their moods, celebrating each others' happiness, and supporting each other when they're down.",0,0,,2020-07-28 17:59:21,2020-11-05 01:47:16,moodpanda,,,,,,,,0,
