slug,apple_mapping,category,name_long,unit,default_value,description,references/0,references/1
biological_age,,laboratory,Biological age,a,,,,
blood_analysis,,laboratory,Blood Analysis,,,"A blood test is a laboratory analysis performed on a blood sample that is usually extracted from a vein in the arm using a hypodermic needle, or via fingerprick. Multiple tests for specific blood components, such as a glucose test or a cholesterol test, are often grouped together into one test panel called a blood panel or blood work. Blood tests are often used in health care to determine physiological and biochemical states, such as disease, mineral content, pharmaceutical drug effectiveness, and organ function. Typical clinical blood panels include a basic metabolic panel or a complete blood count. Blood tests are also used in drug tests to detect drug abuse.",https://en.wikipedia.org/wiki/Blood_test,
urine_analysis,,laboratory,Urine Analysis,,,"Urinalysis tests are  examinations of the physical and chemical properties of urine and its microscopic appearance to aid in medical diagnosis. They involve assessment of the physical properties of urine, such as color and clarity; chemical analysis using a urine test strip; and microscopic examination.",https://en.wikipedia.org/wiki/Clinical_urine_tests,
saliva_analysis,,laboratory,Saliva Analysis,,,"Saliva testing or Salivaomics is a diagnostic technique that involves laboratory analysis of saliva to identify markers of endocrine, immunologic, inflammatory, infectious, and other types of conditions. Saliva is a useful biological fluid for assaying steroid hormones such as cortisol, genetic material like RNA, proteins such as enzymes and antibodies, and a variety of other substances, including natural metabolites, including saliva nitrite, a biomarker for nitric oxide status (see below for Cardiovascular Disease, Nitric Oxide: a salivary biomarker for cardio-protection). Saliva testing is used to screen for or diagnose numerous conditions and disease states, including Cushing's disease, anovulation, HIV, cancer, parasites, hypogonadism, and allergies. Salivary testing has even been used by the U.S. government to assess circadian rhythm shifts in astronauts before flight and to evaluate hormonal profiles of soldiers undergoing military survival training.",https://en.wikipedia.org/wiki/Saliva_testing,
stool_analysis,,laboratory,Stool Analysis,,,"A stool test involves the collection and analysis of fecal matter to diagnose the presence or absence of a medical condition. Fecal occult blood test and fecal immunochemical test are the most common stool tests to diagnose many conditions that caused by bleeding in the gastrointestinal system, including colorectal cancer or stomach cancer.",https://en.wikipedia.org/wiki/Stool_test,
blood_glucose,BloodGlucose,vital,Blood Glucose,mg/dL,,,,
blood_pressure,,vital,Blood Pressure,mm[Hg],,,https://www.cdc.gov/bloodpressure/about.htm,
ankle_brachial_index,,vital,Ankle Brachial Index,{ratio},,"The ankle-brachial index (ABI) is the ratio of the blood pressure at the ankle to the blood pressure in the upper arm (brachium). Compared to the arm, lower blood pressure in the leg suggests blocked arteries due to peripheral artery disease (PAD). The ABPI is calculated by dividing the systolic blood pressure at the ankle by the systolic blood pressure in the arm",https://en.wikipedia.org/wiki/Ankle_brachial_pressure_index,
mean_arterial_pressure,,vital,Mean Arterial Pressure,mm[Hg],,"In medicine, the mean arterial pressure (MAP) is an average blood pressure in an individual during a single cardiac cycle.",https://en.wikipedia.org/wiki/Mean_arterial_pressure,
pulse_pressure,,vital,Pulse pressure,mm[Hg],,"Pulse pressure is the difference between systolic and diastolic blood pressure.[1]It is measured in millimeters of mercury (mmHg). It represents the force that the heart generates each time it contracts. Resting blood pressure is normally approximately 120/80 mmHg, which yields a pulse pressure of approximately 40 mmHg.",https://en.wikipedia.org/wiki/Pulse_pressure,
heart_rate,,vital,Heart Rate,{beats}/min,,,,
heart_rate_variability,,vital,Heart Rate Variability (RMSSD),ms,,,,
body_temperature,,vital,Body Temperature,Cel,,,,
oxygen_saturation,,vital,Blood Oxygen Saturation,%,,The level of oxygen in your blood as determined by a pulse oximeter,,
respiratory_rate,,vital,Respiratory Rate,{breaths}/min,,,,
breath_carbon_monoxide,,vital,Breath Carbon Monoxide,[ppm],,,,
minute_volume,,vital,Respiration Minute Volume,L/min,,,,
body_weight,,biometric,Body weight,kg,,,,
body_height,,biometric,Body height,cm,,,,
body_fat_percentage,,biometric,Body Fat Percentage,%,,,,
body_muscle_percentage,,biometric,Body Muscle Percentage,%,,,,
body_bone_percentage,,biometric,Body Bone Percentage,%,,,,
body_water_percentage,,biometric,Body Water Percentage,%,,,,
body_mass_index,,biometric,Body Mass Index,kg/m2,,,,
body_waist_hip_ratio,,biometric,Waist Hip Ratio,{ratio},,"The waist-hip ratio or waist-to-hip ratio (WHR) is the dimensionless ratio of the circumference of the waist to that of the hips. This is calculated as waist measurement divided by hip measurement (W⁄H). For example, a person with a 30″ (76 cm) waist and 38″ (97 cm) hips has a waist-hip ratio of about 0.78. The WHR has been used as an indicator or measure of health, fertility, and the risk of developing serious health conditions. WHR correlates with perceptions of physical attractiveness.",https://en.wikipedia.org/wiki/Waist-hip_ratio,
steps_count,,activity,Steps count,{count},,,,
calories_burned,,activity,Calories burned,kcal,,,,
pace,,activity,Pace,min/km,,,,
minutes_moderate_activity,,activity,Minutes Moderate Activity,min,,,,
speed,,activity,Speed,m/s,,,,
distance,,activity,Distance,km,,,,
sex,,activity,Sex,min,,,,
mindfulness,,activity,Mindfulness,min,,,,
pushup_capacity,,functional,Pushup capacity,{count},,,,
grip_strength,,functional,Grip Strength,{count},,,,
six_minute_walk_test,,functional,6 Minute Walk Test,m,,,,
one_leg_eyes_closed,,functional,"One leg standing, eyes closed",s,,"Stand on one leg with eyes closed, should be able to do it for 80+ seconds.",,
walking_speed,,functional,Walking Speed,m/s,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4254896/,
treadmill_exercise_testing,,functional,Treadmill Exercise Testing,min,,,https://www.acefitness.org/ptresources/pdfs/TestingProtocols/TreadmillExerciseTesting.pdf,
keyboard_typing_speed,,functional,Keyboard Typing Speed,{#}/min,,,,
intelligence_quotient,,functional,Intelligence Quotient,{score},,,,
auditory_reaction_time,,functional,Auditory Reaction Time,ms,,Cognitive Decline: How quickly can you respond to a sound?,https://www.agemeter.com/how-it-works,
highest_audible_pitch,,functional,Highest Audible Pitch,Hz,,What is the highest tone you can hear?,https://www.agemeter.com/how-it-works,
decision_reaction_time,,functional,Decision Reaction Time,ms,,Cognitive Decline: How quickly can you make a decision?,https://www.agemeter.com/how-it-works,
decision_movement_time,,functional,Decision Movement Time,ms,,How quickly can you physically act on a decision?,https://www.agemeter.com/how-it-works,
short_term_memory,,functional,Short Term Memory,{count},,How many randomly generated numbers can you remember as the sequence grows longer?,https://www.agemeter.com/how-it-works,
muscle_speed_coordination,,functional,Muscle Speed & Coordination,s,,"Cognitive Decline: At the same time, how fast and how accurately can your muscles move?",https://www.agemeter.com/how-it-works,
visual_reaction_time,,functional,Visual Reaction Time,ms,,Cognitive Decline: How quickly can you react to a visual stimulus?,https://www.agemeter.com/how-it-works,
visual_movement_time,,functional,Visual Movement Time,ms,,Cognitive Decline: How fast can your muscles move when you react to a visual stimulus?,https://www.agemeter.com/how-it-works,
