slug,type,subtype,classification,name_short,name_long,unit,default_value,description,references,range min,range max
ag-t,metabolite,lipid,alkylacylglycerol,ag-t,Alkylacylglycerol Total,%,,,,,
ag394,metabolite,lipid,alkylacylglycerol,ag394,"Alkylacylglycerol 36:4 (16:0/20:4, Palmitic/Arachidonic)",%,,,,,
ag395,metabolite,lipid,alkylacylglycerol,ag395,"Alkylacylglycerol 36:5 (16:0/20:5, Palmitic/EPA)",%,,,,,
ag416,metabolite,lipid,alkylacylglycerol,ag416,"Alkylacylglycerol 38:6 (16:0/22:6, Palmitic/DHA)",%,,,,,
ch244,metabolite,lipid,cholesterol,ch244,Cholesterol,%,,,,,
dcm-t,metabolite,lipid,ceramide,dcm-t,Hydroxyceramide Total,%,,,,,
dcm150,metabolite,lipid,ceramide,dcm150,Hydroxyceramide 12:0(OH),%,,,,,
dcm170,metabolite,lipid,ceramide,dcm170,Hydroxyceramide 14:0(OH),%,,,,,
dcm210,metabolite,lipid,ceramide,dcm210,Hydroxyceramide 18:0(OH),%,,,,,
dg-t,metabolite,lipid,diacylglycerol,dg-t,Diacylglycerol Total,%,,,,,
dg320,metabolite,lipid,diacylglycerol,dg320,Diacylglycerol 32:0,%,,c35h68o5,,,
dg321,metabolite,lipid,diacylglycerol,dg321,Diacylglycerol 32:1,%,,c35h66o5,,,
dg322,metabolite,lipid,diacylglycerol,dg322,Diacylglycerol 32:2,%,,c35h64o5,,,
dg341,metabolite,lipid,diacylglycerol,dg341,Diacylglycerol 34:1,%,,c37h70o5,,,
dg342,metabolite,lipid,diacylglycerol,dg342,Diacylglycerol 34:2,%,,c37h68o5,,,
dg343,metabolite,lipid,diacylglycerol,dg343,Diacylglycerol 34:3,%,,c37h66o5,,,
dg360,metabolite,lipid,diacylglycerol,dg360,Diacylglycerol 36:0,%,,c39h76o5,,,
dg362,metabolite,lipid,diacylglycerol,dg362,Diacylglycerol 36:2,%,,c39h72o5,,,
dg363,metabolite,lipid,diacylglycerol,dg363,Diacylglycerol 36:3,%,,c39h70o5,,,
dg364,metabolite,lipid,diacylglycerol,dg364,Diacylglycerol 36:4,%,,c39h68o5,,,
dg365,metabolite,lipid,diacylglycerol,dg365,Diacylglycerol 36:5,%,,c39h66o5,,,
dg382,metabolite,lipid,diacylglycerol,dg382,Diacylglycerol 38:2,%,,c41h76o5,,,
dg383,metabolite,lipid,diacylglycerol,dg383,Diacylglycerol 38:3,%,,c41h74o5,,,
dg384,metabolite,lipid,diacylglycerol,dg384,Diacylglycerol 38:4,%,,c41h72o5,,,
dg385,metabolite,lipid,diacylglycerol,dg385,Diacylglycerol 38:5,%,,c41h70o5,,,
dg386,metabolite,lipid,diacylglycerol,dg386,Diacylglycerol 38:6,%,,c41h68o5,,,
dg406,metabolite,lipid,diacylglycerol,dg406,Diacylglycerol 40:6,%,,c43h72o5,,,
dg407,metabolite,lipid,diacylglycerol,dg407,Diacylglycerol 40:7,%,,c43h70o5,,,
fa-t,metabolite,lipid,fatty acid,fa-t,Free Fatty Acids Total,%,,,,,
fa181,metabolite,lipid,fatty acid,fa181,"Oleic Acid 18:1 (OA, omega-9)",%,,c18h34o2,,,
fa182,metabolite,lipid,fatty acid,fa182,"Linoleic Acid 18:2 (LA, omega-6)",%,,c18h32o2,,,
fa182_181,metabolite,lipid,fatty acid,fa182_181,Linoleic Acid to Oleic Acid (LA to OA),%,,,,,
fa204,metabolite,lipid,fatty acid,fa204,"Arachidonic Acid 20:4 (ARA, omega-6)",%,,c20h32o2,,,
fa204_181,metabolite,lipid,fatty acid,fa204_181,Arachidonic Acid to Oleic Acid (ARA to OA),%,,,,,
fa204_182,metabolite,lipid,fatty acid,fa204_182,Arachidonic Acid to Linoleic Acid (ARA to LA),%,,,,,
fa205,metabolite,lipid,fatty acid,fa205,"Eicosapentaenoic Acid 20:5 (EPA, omega-3)",%,,c20h30o2,,,
