id,name,filling_value,maximum_allowed_value,minimum_allowed_value,duration_of_action,onset_delay,combination_operation,cause_only,outcome,created_at,updated_at,image_url,default_unit_id,deleted_at,manual_tracking,minimum_allowed_seconds_between_measurements,average_seconds_between_measurements,median_seconds_between_measurements,wp_post_id,filling_type,number_of_outcome_population_studies,number_of_predictor_population_studies,number_of_outcome_case_studies,number_of_predictor_case_studies,number_of_measurements,number_of_user_variables,number_of_variables,is_public,synonyms,amazon_product_category,boring,effect_only,predictor,font_awesome,ion_icon,more_info,valence,name_singular,sort_order,is_goal,controllable,slug
1,Emotions,-1,,,86400,0,MEAN,0,1,2020-07-28 17:56:03,2021-06-16 20:28:42,https://static.quantimo.do/img/variable_categories/theatre_mask-96.png,10,,1,60,,,,none,5394,41770,17690,101580,1211325,43085,2028,1,"[""Emotions"",""Emotion"",""Mood""]","",0,,0,far fa-grin-tongue-wink,ion-happy-outline,"Do you have any emotions that fluctuate regularly?  If so, add them so I can try to determine which factors are influencing them.",neutral,Emotion,0,"","",
2,Physique,-1,,,604800,0,MEAN,0,1,2020-07-28 17:56:03,2021-08-27 00:53:11,https://static.quantimo.do/img/variable_categories/yoga-96.png,,,0,86400,,,,none,1097,8143,6809,21317,297734,949,41,1,"","",,,1,fas fa-weight,ion-ios-body-outline,"I can give you easy access to your weight and other vitals. You can manually enter weight, but I recommend using a Fitbit or Withings wifi scale for the most detailed data. I can create a beautiful graph of your weight changes, so you can easily keep trac",positive,"",0,"","",
3,Physical Activity,0,,,86400,0,SUM,0,1,2020-07-28 17:56:03,2021-08-27 00:53:11,https://static.quantimo.do/img/variable_categories/weightlifting-96.png,,,0,3600,,,,zero,4455,5791,19243,16453,579833,2407,1719,1,"[""Physical Activity"",""Physical Activities""]","",,,1,fas fa-running,ion-ios-body-outline,"I get steps from a variety of sources like Fitbit & Jawbone. Even if you don't have any fitness trackers, you can manually record any physical activity, like running, cycling, or going to the gym.",positive,"",0,"","",
4,Locations,0,,,86400,0,MEAN,0,0,2020-07-28 17:56:04,2021-08-27 00:53:12,https://static.quantimo.do/img/variable_categories/treasure_map-96.png,2,,0,600,,,,zero,1081,,1040,,56535,7165,6916,0,"[""Location"",""Locations""]","",1,,1,fas fa-location-arrow,ion-ios-location-outline,"By automatically recording your location in the background using GPS, we might be able to figure out how the amount of time spent at the gym, restaurants, doctors, offices, home and work locations may be affecting you.  Another benefit of enabling this op",positive,"",0,"","",
5,Miscellaneous,-1,,,86400,0,MEAN,0,1,2020-07-28 17:56:05,2021-02-02 01:02:35,https://static.quantimo.do/img/variable_categories/categorize-96.png,,,0,,,,,,476,1944,510,1964,177700,192,195,0,"[""Miscellaneous"",""Uncategorized""]","",1,,1,fas fa-random,ion-help,Last resort for variables that don't fall into any of the available categories. ,positive,"",0,"","",
6,Sleep,-1,,,86400,0,MEAN,0,1,2020-07-28 17:56:03,2021-08-27 00:53:11,https://static.quantimo.do/img/variable_categories/sleeping_in_bed-96.png,,,0,86400,,,,none,2638,22705,11864,56491,547942,2014,111,1,"","",,,1,fas fa-bed,ion-ios-cloudy-night-outline,"I can talk to many of the most popular sleep trackers like Fitbit, Jawbone, Sleep as Android, and Withings",positive,"",0,"","",
7,Social Interactions,0,,,86400,0,MEAN,0,1,2020-07-28 17:56:05,2021-02-02 01:02:35,https://static.quantimo.do/img/variable_categories/collaboration-96.png,,,0,60,,,,zero,1269,2555,3958,5131,132992,1126,78,0,"[""Social Interactions"",""Social Interaction""]","",,,1,far fa-comment-alt,ion-ios-chatboxes-outline,A social relation or social interaction is any relationship between two or more individuals. ,positive,"",0,"","",
8,Vital Signs,-1,,,86400,0,MEAN,0,1,2020-07-28 17:56:03,2021-08-27 00:53:11,https://static.quantimo.do/img/variable_categories/heart_monitor-96.png,,,0,,,,,none,976,6916,3265,14680,97812,654,110,1,"[""Vital Signs"",""Vital Sign""]","",,,1,fas fa-heartbeat,ion-ios-pulse,"Your vital signs show how well your body is functioning. They include blood pressure, heart rate, respiratory rate (or pulse), and temperature.",positive,"",0,"","",
9,Cognitive Performance,-1,,,86400,0,MEAN,0,1,2020-07-28 17:56:05,2021-02-02 01:02:35,https://static.quantimo.do/img/variable_categories/brain-96.png,,,0,,,,,none,70,376,72,541,627,27,19,1,"","",,,0,fas fa-brain,ion-arrow-graph-up-right,See what factors could be harming or enhancing your cognitive performance.,positive,"",0,"","",
10,Symptoms,-1,,,86400,0,MEAN,0,1,2020-07-28 17:56:03,2021-08-27 00:53:11,https://static.quantimo.do/img/variable_categories/sad-96.png,10,,1,60,,,,none,6916,38959,12453,61382,105242,8167,13336,1,"[""Symptoms"",""Symptom""]","",,,1,fas fa-head-side-cough,ion-sad-outline,"Symptom severity can be influence by hundreds of factors in daily life. The human mind can only hold 7 numbers in working memory at a time.  I can hold a billion in my mind! If you regularly record your symptoms, add them so I can use this data to determi",negative,"",0,"","",
