slug,type,subtype,classification,name_short,name_long,unit,default_value,description,references,range min,range max
P01009,protein,plasma,"Acute Inflammatory Response (GO:0002526), Blood Coagulation (GO:0007596), Neutrophil Degranulation (GO:0043312), Platelet Degranulation (GO:0002576)",SERPINA1,Alpha-1-antitrypsin,%,,,,,
P04217,protein,plasma,"Neutrophil Degranulation (GO:0043312), Platelet Degranulation (GO:0002576)",A1BG,Alpha-1B-glycoprotein,%,,,,,
P08697,protein,plasma,"Acute Inflammatory Response (GO:0002526), Blood Coagulation (GO:0007596), Cell Adhesion (GO:0007155), Platelet Degranulation (GO:0002576)",SERPINF2,Alpha-2-antiplasmin,%,,,,,
P01023,protein,plasma,"Blood Coagulation (GO:0007596), Complement Activation (GO:0006956), Platelet Degranulation (GO:0002576)",A2M,Alpha-2-macroglobulin,%,,,,,
P01011,protein,plasma,"Acute Inflammatory Response (GO:0002526), Neutrophil Degranulation (GO:0043312),Platelet Degranulation (GO:0002576)",SERPINA3,Alpha-1-antichymotrypsin,%,,,,,
P02768,protein,plasma,Platelet Degranulation (GO:0002576),ALB,Albumin,%,,,,,
P35858,protein,plasma,Cell Adhesion (GO:0007155),IGFALS,IGF-binding protein complex ALS,%,,,,,
P02760,protein,plasma,Cell Adhesion (GO:0007155),AMBP,Protein AMBP,%,,,,,
P01019,protein,plasma,"Acute Inflammatory Response (GO:0002526), Hormone Transport (GO:0009914), Lipid Transport (GO:0006869), Steroid Metabolic Process (GO:0008202)",AGT,Angiotensinogen,%,,,,,
P01008,protein,plasma,"Acute Inflammatory Response (GO:0002526), Blood Coagulation (GO:0007596)",SERPINC1,Antithrombin-III,%,,,,,
P08519,protein,plasma,Lipid Transport (GO:0006869),LPA,Apolipoprotein(a),%,,,,,
P02647,protein,plasma,"Cell Adhesion (GO:0007155), Lipid Transport (GO:0006869), Platelet Degranulation (GO:0002576), Steroid Metabolic Process (GO:0008202)",APOA1,Apolipoprotein A-I,%,,,,,
P06727,protein,plasma,"Cell Adhesion (GO:0007155), Lipid Transport (GO:0006869),Steroid Metabolic Process (GO:0008202)",APOA4,Apolipoprotein A-IV,%,,,,,
P04114,protein,plasma,"Leukocyte Migration (GO:0050900), Lipid Transport (GO:0006869), Steroid Metabolic Process (GO:0008202)",APOB,Apolipoprotein B-100,%,,,,,
